employee_id,name,age,gender,department,job_role,salary,monthly_income,years_at_company,education,marital_status,work_life_balance,job_satisfaction,performance_rating,overtime,distance_from_home,attrition
EMP1000,Employee_1,58,Female,Sales,Manager,242532,20211,25,Bachelor's Degree,Divorced,3,4,3,Yes,5.5,0
EMP1001,Employee_2,43,Female,Research & Development,Research Scientist,134700,11225,11,High School,Divorced,3,1,3,Yes,18.7,0
EMP1002,Employee_3,34,Female,Sales,Sales Executive,82956,6913,2,Bachelor's Degree,Single,1,3,4,No,25.9,1
EMP1003,Employee_4,28,Female,Sales,Manager,149268,12439,7,Bachelor's Degree,Single,3,2,3,No,2.0,0
EMP1004,Employee_5,23,Female,Sales,Sales Representative,63012,5251,5,Master's Degree,Single,3,2,3,No,27.9,1
EMP1005,Employee_6,35,Male,Sales,Sales Executive,109764,9147,8,Master's Degree,Single,3,1,3,Yes,9.6,1
EMP1006,Employee_7,30,Male,Finance,Financial Analyst,103164,8597,9,Bachelor's Degree,Married,3,4,3,Yes,11.4,1
EMP1007,Employee_8,43,Male,Research & Development,Research Scientist,112440,9370,2,Bachelor's Degree,Married,3,4,3,No,4.5,1
EMP1008,Employee_9,34,Male,IT,Manager,180840,15070,16,Bachelor's Degree,Single,2,4,3,No,10.1,0
EMP1009,Employee_10,32,Female,Research & Development,Laboratory Technician,103884,8657,12,Bachelor's Degree,Married,2,3,3,Yes,9.6,1
EMP1010,Employee_11,47,Male,IT,Systems Analyst,178512,14876,24,Associate Degree,Married,3,1,3,No,24.7,0
EMP1011,Employee_12,43,Male,Sales,Sales Executive,147012,12251,16,Associate Degree,Single,3,3,2,Yes,8.4,1
EMP1012,Employee_13,21,Female,Sales,Sales Executive,72456,6038,2,High School,Married,3,3,3,No,20.7,0
EMP1013,Employee_14,36,Male,Research & Development,Laboratory Technician,100440,8370,10,Bachelor's Degree,Divorced,3,2,3,No,24.7,0
EMP1014,Employee_15,55,Male,Sales,Manager,224424,18702,19,Master's Degree,Married,4,3,3,No,28.3,0
EMP1015,Employee_16,42,Male,Human Resources,HR Manager,161832,13486,15,Associate Degree,Divorced,1,2,4,No,17.1,0
EMP1016,Employee_17,28,Male,Research & Development,Laboratory Technician,75636,6303,7,Bachelor's Degree,Married,3,4,3,No,26.7,1
EMP1017,Employee_18,44,Male,Sales,Sales Representative,137580,11465,21,Associate Degree,Divorced,1,2,3,No,14.0,0
EMP1018,Employee_19,27,Male,Sales,Manager,137700,11475,2,Bachelor's Degree,Married,4,3,3,Yes,19.5,1
EMP1019,Employee_20,53,Male,Sales,Sales Executive,150312,12526,15,Bachelor's Degree,Married,2,3,4,Yes,9.1,0
EMP1020,Employee_21,25,Male,Sales,Sales Representative,55920,4660,4,PhD,Married,2,1,2,No,17.6,1
EMP1021,Employee_22,37,Male,Research & Development,Laboratory Technician,122808,10234,17,Master's Degree,Married,3,1,4,No,18.8,0
EMP1022,Employee_23,28,Male,IT,Systems Analyst,81828,6819,2,Bachelor's Degree,Married,1,1,3,No,8.4,1
EMP1023,Employee_24,35,Female,Sales,Sales Representative,102624,8552,16,Bachelor's Degree,Divorced,2,3,3,No,2.1,0
EMP1024,Employee_25,24,Male,Sales,Manager,132672,11056,2,High School,Single,3,4,3,No,19.5,0
EMP1025,Employee_26,38,Female,IT,Systems Analyst,113004,9417,8,Associate Degree,Married,3,4,3,Yes,21.0,1
EMP1026,Employee_27,59,Male,Finance,Manager,181152,15096,4,PhD,Single,3,2,3,No,18.7,0
EMP1027,Employee_28,47,Male,Research & Development,Research Scientist,138072,11506,11,Bachelor's Degree,Single,2,4,3,No,1.5,0
EMP1028,Employee_29,29,Female,Sales,Sales Representative,61896,5158,2,High School,Married,2,3,2,No,15.6,0
EMP1029,Employee_30,47,Female,Human Resources,Manager,156492,13041,0,Master's Degree,Married,3,4,4,No,14.3,0
EMP1030,Employee_31,48,Male,IT,Systems Analyst,106968,8914,2,Bachelor's Degree,Single,3,3,3,No,10.8,0
